branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment	change_summary	still_valid
anorrish-arch-doc-updates	https://github.com/sourcegraph/docs/tree/anorrish-arch-doc-updates	2025-04-23	2025-05-08	490	MaedahBatool	no	7	579	1094	https://github.com/sourcegraph/docs/pull/1094	2025-04-23	anorrish	yes	closed unmerged 2025-07-21	DELETE: PR closed without merge; author left org	Substantially expands the Sourcegraph architecture overview with service quick links and descriptions of frontend, gitserver, repo-updater, search, code intelligence, storage, infrastructure, and Cody components, including their responsibilities and request/data flows.	OUTDATED: repo-updater and symbols merged into worker/searcher; admin/architecture.mdx on main is already current (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
ask-ai	https://github.com/sourcegraph/docs/tree/ask-ai	2024-06-24	2024-09-10	731	MaedahBatool	no	27	980	640	https://github.com/sourcegraph/docs/pull/640	2024-09-10	MaedahBatool	no	closed unmerged 2025-05-07	DELETE: PR closed without merge; author left org	Site tooling only: adds an Ask AI chat page and API route to the docs site, with streaming chat UI, Markdown/code rendering, copy actions, layout integration, and supporting dependencies.	N/A: tooling/test/formatting/link fixes, no product claims
aws-ftr-updates	https://github.com/sourcegraph/docs/tree/aws-ftr-updates	2026-02-12	2026-02-12	211		unknown (no GitHub login on commit)	5	216	1598	https://github.com/sourcegraph/docs/pull/1598	2026-02-12	erclm	no	closed unmerged 2026-02-19	DELETE: PR closed without merge	Greatly expands AWS deployment documentation for Docker Compose, single-container, EKS/Kustomize, AMI, and one-click installs. It adds least-privilege IAM policies, VPC/subnet/NAT and security guidance, IMDSv2 and EC2 roles, RDS/S3 integration, load balancing/TLS, backup, monitoring, and deployment procedures.	PARTIALLY VALID: AMI/one-click/Compose still supported; EKS Kustomize is legacy and has no docs page. Heavy rewrite needed before reuse (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
bahrmichael/2024-08-15-batch-changes-gh-apps-experimental-label	https://github.com/sourcegraph/docs/tree/bahrmichael/2024-08-15-batch-changes-gh-apps-experimental-label	2024-06-21	2024-08-15	756	bahrmichael	yes	17	1094	571	https://github.com/sourcegraph/docs/pull/571	2024-08-15	bahrmichael	yes	closed unmerged 2024-08-15	DELETE: PR closed without merge	Documents Batch Changes schema version 2, introduced in Sourcegraph 5.5, where repository-matching queries default to keyword search, and labels Batch Changes GitHub App credentials experimental. It adds setup/removal instructions and states changed GitHub App installations or permissions require deleting and recreating the credential, alongside broad older docs cleanup.	ALREADY DOCUMENTED: Batch Changes GitHub App label matches main (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
bak-rel/changelog/v5.7.0	https://github.com/sourcegraph/docs/tree/bak-rel/changelog/v5.7.0		2024-09-04	736	michaellzc	yes	0	992						no PR	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
check-links-report-format	https://github.com/sourcegraph/docs/tree/check-links-report-format	2026-09-11	2026-09-11	0	marcleblanc2	yes	6	4	1916	https://github.com/sourcegraph/docs/pull/1916	2026-09-11	marcleblanc2	yes	open review=APPROVED merge=BEHIND checks=SUCCESS	ACTIVE: open PR	Site tooling only: restructures link-check reports into outbound, absolute-self-link, and inbound sections with one fact per line, emits one actionable review suggestion per fix, and adds a script that synchronizes and removes stale review comments.	N/A: tooling/test/formatting/link fixes, no product claims
chrsmith/modelconfig-docs	https://github.com/sourcegraph/docs/tree/chrsmith/modelconfig-docs	2024-08-01	2024-08-05	766	chrsmith	no	5	1060	540	https://github.com/sourcegraph/docs/pull/540	2024-08-01	chrsmith	no	closed unmerged 2024-08-08	DELETE: PR closed without merge; author left org	Moves and expands Cody Enterprise LLM configuration into a dedicated model-configuration guide. It says Sourcegraph 5.5.4+ supports selectable models and documents the `modelConfiguration` site setting, Cody Gateway model filters, allow/deny wildcards, defaults, custom providers, credentials, and disabling Sourcegraph-supplied models with `sourcegraph: null`.	ALREADY DOCUMENTED: modelConfiguration covered on main (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
ci/vercel-ignore-non-site-changes	https://github.com/sourcegraph/docs/tree/ci/vercel-ignore-non-site-changes	2026-09-11	2026-09-11	0	marcleblanc2	yes	2	8	1901	https://github.com/sourcegraph/docs/pull/1901	2026-09-11	marcleblanc2	yes	open review=APPROVED merge=BEHIND checks=SUCCESS	ACTIVE: open PR	Site tooling only: configures Vercel to skip preview builds when a commit only changes non-site files.	N/A: tooling/test/formatting/link fixes, no product claims
code-insights-revamp	https://github.com/sourcegraph/docs/tree/code-insights-revamp	2025-05-12	2025-05-20	478	MaedahBatool	no	4	566	1130	https://github.com/sourcegraph/docs/pull/1130	2025-05-12	MaedahBatool	no	closed unmerged 2025-06-24	DELETE: PR closed without merge; author left org	No substantive change (README release-branch comment only).	N/A: tooling/test/formatting/link fixes, no product claims
cody-api-docs	https://github.com/sourcegraph/docs/tree/cody-api-docs	2024-09-15	2024-09-15	725	MaedahBatool	no	1	964	655	https://github.com/sourcegraph/docs/pull/655	2024-09-15	MaedahBatool	no	closed unmerged 2025-07-19	DELETE: PR closed without merge; author left org	Adds Cody/LLM HTTP API documentation with cURL, TypeScript, and Python examples, including relevant-source-location operations plus `GET /.api/llm/models` for listing models and model-detail retrieval; it also adds the page to navigation.	PARTIALLY VALID: Cody API exists; check against /api-reference before merging (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
cody-docs-tabs	https://github.com/sourcegraph/docs/tree/cody-docs-tabs	2024-06-19	2024-06-19	813	MaedahBatool	no	1	1121	440	https://github.com/sourcegraph/docs/pull/440	2024-06-19	MaedahBatool	no	closed unmerged 2025-07-19	DELETE: PR closed without merge; author left org	Replaces the Cody client landing-page cards with tabs for VS Code, JetBrains, experimental Neovim, and Web, and consolidates navigation under “Install Cody for Free & Pro.”	OUTDATED: Free/Pro tabs no longer apply (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
cody-eclipse	https://github.com/sourcegraph/docs/tree/cody-eclipse	2024-11-19	2024-11-19	660	MaedahBatool	no	2	844	807	https://github.com/sourcegraph/docs/pull/807	2024-11-19	MaedahBatool	no	closed unmerged 2024-11-27	DELETE: PR closed without merge; author left org	Adds an experimental Cody for Eclipse installation and usage guide, stating compatibility with Eclipse 2024-03 on Windows 11 and chat-only support, available on Free, Pro, and Enterprise. It adds Eclipse to feature tables/navigation and documents connection, chat history, model selection including Ollama, context, prompts, and troubleshooting.	OUTDATED: Cody Eclipse page removed on main and redirected (https://sourcegraph.sourcegraph.com/deepsearch/15cee0a2-d598-4086-9f0b-b1b68cdf8504)
cody-updates-may28	https://github.com/sourcegraph/docs/tree/cody-updates-may28	2025-05-28	2025-05-28	470	MaedahBatool	no	1	559	1162	https://github.com/sourcegraph/docs/pull/1162	2025-05-28	MaedahBatool	no	closed unmerged 2025-06-24	DELETE: PR closed without merge; author left org	Updates supported-model and Enterprise model-configuration pages to say AWS Bedrock BYOK supports Claude 3.7 Sonnet thinking mode and Claude 4 Sonnet, with expanded-context reasoning for Claude 3.7.	ALREADY DOCUMENTED (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
cw/token-settings-updates	https://github.com/sourcegraph/docs/tree/cw/token-settings-updates		2024-01-23	961		unknown (no GitHub login on commit)	0	1585	57	https://github.com/sourcegraph/docs/pull/57	2024-01-23	chwarwick	no	merged 2024-01-24	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
data-usage-faq-update	https://github.com/sourcegraph/docs/tree/data-usage-faq-update		2024-01-22	962	chillatom	no	0	1597	49	https://github.com/sourcegraph/docs/pull/49	2024-01-22	chillatom	no	merged 2024-01-22	DELETE: no commits beyond main; author left org	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
dax/update_cloud_docs	https://github.com/sourcegraph/docs/tree/dax/update_cloud_docs	2024-01-12	2024-01-12	972	daxmc99	no	2	1620	35	https://github.com/sourcegraph/docs/pull/35	2024-01-12	daxmc99	no	closed unmerged 2024-01-12	DELETE: PR closed without merge; author left org	Expands Sourcegraph Cloud private-connectivity documentation and adds an alternate public-load-balancer method for Enterprise customers. It says Sourcegraph supplies two static IPs to allowlist, supports DNS proxying from internal resource names, and can reach private code hosts, artifact registries, and Jira through a customer TCP load balancer with valid TLS.	ALREADY DOCUMENTED in cloud/private-connectivity-public-lb.mdx; Sourcegraph Connect is the newer path (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
dec-14-ga	https://github.com/sourcegraph/docs/tree/dec-14-ga		2023-12-14	1002	MaedahBatool	no	0	1665	8	https://github.com/sourcegraph/docs/pull/8	2023-12-14	MaedahBatool	no	merged 2023-12-14	DELETE: no commits beyond main; author left org	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
dec-14	https://github.com/sourcegraph/docs/tree/dec-14	2023-12-13	2023-12-14	1002	MaedahBatool	no	3	1670	5	https://github.com/sourcegraph/docs/pull/5	2023-12-13	MaedahBatool	no	closed unmerged 2023-12-14	DELETE: PR closed without merge; author left org	Refreshes many Cody pages covering autocomplete, chat, commands, client installation, pricing, quickstart, FAQ, and troubleshooting, including claims that autocomplete uses Claude Instant and self-hosted customers need 5.0.4+. It also reorganizes site components and contains a very large generated GraphQL page diff; the 3.8 MB diff was summarized from its stat and a sample.	OUTDATED: Claude Instant autocomplete and 5.0.4 minimum are long gone; site components superseded (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
deep-search-june25	https://github.com/sourcegraph/docs/tree/deep-search-june25	2025-06-24	2025-06-24	443	MaedahBatool	no	3	519	1202	https://github.com/sourcegraph/docs/pull/1202	2025-06-24	MaedahBatool	no	closed unmerged 2025-07-19	DELETE: PR closed without merge; author left org	Updates Deep Search enablement guidance to say it is enabled by default for Sourcegraph Cloud Enterprise and Enterprise Starter, disabled by default for self-hosted instances, and currently supports only Claude Sonnet 4.	OUTDATED: Deep Search access is now license-driven with many models; June-2025 snapshot stale (https://sourcegraph.sourcegraph.com/deepsearch/7d61aa33-2fff-4c62-a9fe-0abb9929a4ea)
demo-design-template	https://github.com/sourcegraph/docs/tree/demo-design-template	2024-06-11	2024-06-11	822	MaedahBatool	no	3	1151	411	https://github.com/sourcegraph/docs/pull/411	2024-06-11	MaedahBatool	no	closed unmerged 2024-08-16	DELETE: PR closed without merge; author left org	Adds an internal docs design-library page demonstrating headings and callout components; no product behavior changes.	N/A: tooling/test/formatting/link fixes, no product claims
derekTest	https://github.com/sourcegraph/docs/tree/derekTest		2025-05-06	492	MaedahBatool	no	0	587						no PR	DELETE: no commits beyond main; author left org	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
disabled-structural-search	https://github.com/sourcegraph/docs/tree/disabled-structural-search		2024-01-17	968	stefanhengl	yes	0	1607	39	https://github.com/sourcegraph/docs/pull/39	2024-01-17	stefanhengl	yes	merged 2024-01-18	DELETE: no commits beyond main	no diff: branch tip is already in main	N/A: no diff, branch tip is already in main
docs/agentic-batch-changes-ga	https://github.com/sourcegraph/docs/tree/docs/agentic-batch-changes-ga	2026-09-11	2026-09-11	0	danielmarquespt	yes	4	4						no PR	WIP?: recent commits, no PR yet	Rewrites Agentic Batch Changes documentation and adds configuration and prompt-writing pages. It documents repository-backed guidance/skills, coding-agent steps with Sourcegraph MCP and Codex/Claude selection, executor isolation, secret injection/redaction, audit logging, RBAC requirements, and CI/check hooks.	OUTDATED: agentic Batch Changes still Beta on main; GA flag flips 2026-09-14, re-check then (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
docs/fix-docs-url	https://github.com/sourcegraph/docs/tree/docs/fix-docs-url	2025-05-07	2025-05-07	492	trly	yes	1	587	1122	https://github.com/sourcegraph/docs/pull/1122	2025-05-07	trly	yes	closed unmerged 2025-05-07	DELETE: PR closed without merge	Rewrites stale documentation links in Kubernetes deployment, search-jobs CLI references, legacy-version listings, and redirects from `docs.sourcegraph.com` to `sourcegraph.com/docs`; no product behavior changes.	N/A: tooling/test/formatting/link fixes, no product claims
docs/scip-docs-refresh	https://github.com/sourcegraph/docs/tree/docs/scip-docs-refresh	2026-02-16	2026-02-17	205	trly	yes	2	211						no PR	DELETE?: no PR, idle >180d	Refreshes precise code-navigation/SCIP documentation with per-language indexing guides for C/C++, C#, Go, JVM, Python, Ruby, Rust, and TypeScript/JavaScript, plus CI examples and troubleshooting. It says Sourcegraph.com uploads require `-github-token` ownership proof and shows `src code-intel upload` workflows using Sourcegraph access tokens.	ALREADY DOCUMENTED: per-language SCIP how-tos and upload flags on main (https://sourcegraph.sourcegraph.com/deepsearch/0223cab2-d3a8-48a3-b728-693f8ded4396)
docs-explicit-permissions-external-api-cf8568f9-dbb8-4609-a80c-8ad8e2ea5106	https://github.com/sourcegraph/docs/tree/docs-explicit-permissions-external-api-cf8568f9-dbb8-4609-a80c-8ad8e2ea5106	2026-06-16	2026-06-16	86	bobheadxi	yes	1	99	1785	https://github.com/sourcegraph/docs/pull/1785	2026-06-16	bobheadxi	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR	Rewrites explicit repository-permissions docs around the Sourcegraph external API introduced in 7.0. It documents licensed Get/List/Create/Delete operations under `/api/explicitrepopermissions.v1.Service/...`, `/api-reference` OpenAPI discovery, bearer-token-only authentication, scoped tokens and RBAC, pagination, and user/repository resource names.	VALID: explicitrepopermissions.v1.Service exists and docs main has no page for it. Worth salvaging (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
docs-legacy-versions	https://github.com/sourcegraph/docs/tree/docs-legacy-versions	2024-05-30	2024-05-30	834	MaedahBatool	no	1	1181						no PR	DELETE?: no PR, idle >180d; author left org	No substantive product change: adds a README note pointing to the `sourcegraph/docs-legacy-versions` archive repository plus stray placeholder text.	N/A: tooling/test/formatting/link fixes, no product claims
docs-url-rewrite-88cfd6e5-d8f4-47ad-a67e-f9286a430b5a	https://github.com/sourcegraph/docs/tree/docs-url-rewrite-88cfd6e5-d8f4-47ad-a67e-f9286a430b5a	2026-09-03	2026-09-03	8	bahrmichael	yes	1	36	1851	https://github.com/sourcegraph/docs/pull/1851	2026-09-03	bahrmichael	yes	open review=REVIEW_REQUIRED merge=DIRTY checks=SUCCESS	ACTIVE: open PR	Rewrites stale absolute `docs.sourcegraph.com` links throughout generated CLI reference pages to `sourcegraph.com/docs`; no product behavior changes.	N/A: tooling/test/formatting/link fixes, no product claims
edit-this-page	https://github.com/sourcegraph/docs/tree/edit-this-page	2024-03-27	2024-03-28	896	MaedahBatool	no	3	1320	212	https://github.com/sourcegraph/docs/pull/212	2024-03-27	MaedahBatool	no	closed unmerged 2024-05-27	DELETE: PR closed without merge; author left org	Performs a massive docs-site migration: moves the old documentation tree to `docs-old`, introduces flattened current/versioned 5.2 pages and navigation, and changes the table-of-contents component. The 13.8 MB diff was summarized from its 1,805-file stat and a sample rather than read in full.	OUTDATED: superseded docs-site migration (docs-old tree, versioned 5.2 pages)
eg-auth-token-clarifications	https://github.com/sourcegraph/docs/tree/eg-auth-token-clarifications	2026-04-17	2026-04-17	146	enriquegh	yes	1	126	1754	https://github.com/sourcegraph/docs/pull/1754	2026-04-17	enriquegh	yes	open review=APPROVED merge=BEHIND checks=SUCCESS	STALE: open PR idle >90d, ping author or close	Clarifies authentication choices among service accounts, OAuth Apps, and access tokens, recommending machine identities, per-user OAuth, or simple one-user tokens respectively. It adds MCP OAuth troubleshooting for the `mcp` scope, exact redirect URIs, one-time refresh-token rotation, `MCP#ACCESS`, and notes that `auth.accessTokens` does not disable other authentication methods.	ALREADY DOCUMENTED: mcp scope / MCP#ACCESS covered in docs/api/mcp (https://sourcegraph.sourcegraph.com/deepsearch/44d74fd9-7e50-41dd-996b-3190bd2828fe)
eg-chat-vision	https://github.com/sourcegraph/docs/tree/eg-chat-vision	2025-12-11	2025-12-11	273	enriquegh	yes	1	304	1474	https://github.com/sourcegraph/docs/pull/1474	2025-12-11	enriquegh	yes	open review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	STALE: open PR idle >90d, ping author or close	Updates Cody Chat image-upload documentation to say Enterprise site admins must enable `configFeatures.chatVision` in site configuration.	VALID: configFeatures.chatVision exists in the schema and is undocumented on main. Worth salvaging (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
ent-feature-matrix	https://github.com/sourcegraph/docs/tree/ent-feature-matrix	2024-04-30	2024-05-01	862	MaedahBatool	no	4	1242	285	https://github.com/sourcegraph/docs/pull/285	2024-04-30	MaedahBatool	no	closed unmerged 2024-08-16	DELETE: PR closed without merge; author left org	Adds an interactive Enterprise feature-parity matrix to the Enterprise docs, with selectors for Chat versus Autocomplete, Cody Gateway versus BYOK, cloud versus on-premises, Sourcegraph version, and LLM provider. It records model availability for Sourcegraph 5.3.0 and 5.3.9104, including OpenAI and Anthropic models through Cody Gateway and Azure OpenAI or AWS Bedrock BYOK support.	OUTDATED: Cody Free/Pro sunset 2025-07-23; tier matrix no longer applies (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
ent-llm-dropdown	https://github.com/sourcegraph/docs/tree/ent-llm-dropdown	2024-07-16	2024-07-17	786	MaedahBatool	no	3	1073	498	https://github.com/sourcegraph/docs/pull/498	2024-07-16	MaedahBatool	no	closed unmerged 2024-08-13	DELETE: PR closed without merge; author left org	Updates Cody Enterprise and IDE docs to say admins can enable an LLM-selection dropdown and choose the models available to users; user model selection is listed as supported in VS Code and JetBrains, but not Neovim or web. It also says Free, Pro, and Enterprise users can select Chat and Commands models, with Claude 3 Sonnet the JetBrains default for Free users.	OUTDATED: Free/Pro tiers gone; model defaults now Claude Sonnet 5 / Haiku 4.5 (https://sourcegraph.sourcegraph.com/deepsearch/39ca144e-3a89-49e6-9065-47d3495e7ed4)
es/cs	https://github.com/sourcegraph/docs/tree/es/cs	2026-04-26	2026-04-26	138	eseliger	yes	2	120	1760	https://github.com/sourcegraph/docs/pull/1760	2026-04-26	eseliger	yes	open review=APPROVED merge=DIRTY checks=SUCCESS	REVIEW: open PR idle 30-90d	Cleans up Code Search, Code Navigation, permissions, and code-host documentation, mostly tightening wording and removing stale or duplicated details. Notably, it removes Search Jobs configuration environment variables and disable instructions, says Saved Searches are under More > Saved Searches, changes Search Context selection to use the `context:` predicate, and retains the claim that structural search is disabled by default as of 5.3 and must be enabled with `experimentalFeatures.structuralSearch`.	ALREADY DOCUMENTED: structural search default, DISABLE_SEARCH_JOBS, saved searches, context: predicate all on main (https://sourcegraph.sourcegraph.com/deepsearch/0223cab2-d3a8-48a3-b728-693f8ded4396)
fix-broken-links-algolia	https://github.com/sourcegraph/docs/tree/fix-broken-links-algolia	2024-03-21	2024-03-21	904	MaedahBatool	no	1	1355	187	https://github.com/sourcegraph/docs/pull/187	2024-03-21	MaedahBatool	no	closed unmerged 2024-05-21	DELETE: PR closed without merge; author left org	Repairs internal links and headings across deployment, admin, Code Search, code-intelligence developer, migration, and telemetry pages, including versioned 5.2 copies. It also makes MDX headings horizontally scrollable; otherwise the changes are link fixes and whitespace cleanup.	N/A: tooling/test/formatting/link fixes, no product claims
fix-broken-links-and-anchors	https://github.com/sourcegraph/docs/tree/fix-broken-links-and-anchors	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1861	https://github.com/sourcegraph/docs/pull/1861	2026-09-06	marcleblanc2	yes	closed unmerged 2026-09-09	DELETE: PR closed without merge	Repairs broken links and generated heading anchors across roughly 120 admin, Batch Changes, Code Insights, Code Navigation, Code Search, Cody, integration, and self-hosted deployment pages; no product behavior is changed.	N/A: tooling/test/formatting/link fixes, no product claims
fix-trailing-whitespace	https://github.com/sourcegraph/docs/tree/fix-trailing-whitespace	2025-07-10	2025-07-10	427		unknown (no GitHub login on commit)	1	483						no PR	DELETE?: no PR, idle >180d	Fixes the documented Deep Search sharing setting from the invalid `deepSearch.sharing.enabled ` key with trailing whitespace to `deepSearch.sharing.enabled`.	ALREADY DOCUMENTED: the typo is not present on main (https://sourcegraph.sourcegraph.com/deepsearch/7d61aa33-2fff-4c62-a9fe-0abb9929a4ea)
ga-tag-manager	https://github.com/sourcegraph/docs/tree/ga-tag-manager	2024-03-14	2024-03-27	898	MaedahBatool	no	2	1336	156	https://github.com/sourcegraph/docs/pull/156	2024-03-14	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org	Changes site tooling only: injects Google Tag Manager container `GTM-TB4NLS7` into the Next.js root layout, including the head script and noscript iframe.	N/A: tooling/test/formatting/link fixes, no product claims
gabe/update-db-migrations	https://github.com/sourcegraph/docs/tree/gabe/update-db-migrations	2024-04-25	2024-05-24	839	gabtorre	yes	6	1191						no PR	DELETE?: no PR, idle >180d	Updates Kubernetes database backup documentation to say backups include the `codeinsights` database in addition to the primary Sourcegraph and `codeintel` databases.	ALREADY DOCUMENTED: restore.mdx and migrate-backup.mdx list codeinsights-db (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
gabe/update-db-migrations-rebased	https://github.com/sourcegraph/docs/tree/gabe/update-db-migrations-rebased	2024-04-25	2024-05-24	839	gabtorre	yes	6	1191						no PR	DELETE?: no PR, idle >180d	Updates Kubernetes database backup documentation to say backups include the `codeinsights` database in addition to the primary Sourcegraph and `codeintel` databases.	ALREADY DOCUMENTED: duplicate of gabe/update-db-migrations (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
gabe/update-dc-db-operations	https://github.com/sourcegraph/docs/tree/gabe/update-dc-db-operations	2024-05-24	2024-05-24	839	gabtorre	yes	3	1190						no PR	DELETE?: no PR, idle >180d	Extends Docker Compose database operations to access, back up, restore, copy, and remove volumes for `codeinsights-db`, using PostgreSQL user/database `postgres`; it also fixes the `codeintel-db` dump command.	ALREADY DOCUMENTED: codeinsights-db backup/restore covered on main (https://sourcegraph.sourcegraph.com/deepsearch/a09b0e4c-0875-4195-b1ad-ab142e29f646)
